sold_date,address,city,state,zip,property_type,price,beds,baths,square_feet,lot_size,year_built,price_per_square_foot,hoa_month,neighborhood_or_location,latitude,longitude,source,mls_number,redfin_url,date_source_note,original_row_number
2025-10-23,745 Napoli Dr,Pacific Palisades,CA,90272,Single Family Residential,5800000,5,5.0,3761,16041,1960,1542,29.0,Pacific Palisades,34.041891,-118.5105332,TheMLS,24-421779,https://www.redfin.com/CA/Pacific-Palisades/745-Napoli-Dr-90272/home/6839599,Original Redfin export,327
2025-10-10,761 Latimer Rd,Santa Monica,CA,90402,Single Family Residential,8200000,5,6.0,7323,15514,1998,1120,,Santa Monica,34.0435226,-118.5126117,TheMLS,25563189,https://www.redfin.com/CA/Santa-Monica/761-Latimer-Rd-90402/home/6839997,Original Redfin export,257
2025-10-06,442 Alma Real Dr,Pacific Palisades,CA,90272,Single Family Residential,4750000,3,4.0,2600,10623,1950,1827,,Pacific Palisades,34.0368465,-118.522272,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/442-Alma-Real-Dr-90272/home/6841045,Filled from public web research: Redfin (High confidence),12
2025-10-01,720 Chapala Dr,Pacific Palisades,CA,90272,Single Family Residential,4262000,4,4.0,3491,8518,1929,1221,27.0,Pacific Palisades,34.0408072,-118.521696,TheMLS,25580449,https://www.redfin.com/CA/Pacific-Palisades/720-Chapala-Dr-90272/home/6840865,Original Redfin export,179
2025-10-01,16959 Dulce Ynez Ln,Pacific Palisades,CA,90272,Single Family Residential,3160000,3,3.0,2547,20144,1975,1241,,Pacific Palisades,34.0467644,-118.5511045,TheMLS,25557935,https://www.redfin.com/CA/Pacific-Palisades/16959-Dulce-Ynez-Ln-90272/home/6844499,Original Redfin export,122
2025-09-30,37 Haldeman Rd,Santa Monica,CA,90402,Single Family Residential,8022333,3,2.0,3163,26981,1925,2536,,Pacific Palisades,34.0392631,-118.5128282,TheMLS,25599705,https://www.redfin.com/CA/Santa-Monica/37-Haldeman-Rd-90402/home/6840181,Original Redfin export,19
2025-09-30,1476 Via Cresta,Pacific Palisades,CA,90272,Single Family Residential,7150000,4,5.0,4816,95700,1988,1485,1440.0,Pacific Palisades,34.0561651,-118.5367543,TheMLS,25591543,https://www.redfin.com/CA/Pacific-Palisades/1476-Via-Cresta-90272/home/6845397,Original Redfin export,78
2025-09-29,17552 Camino De Yatasto,Pacific Palisades,CA,90272,Single Family Residential,3060000,5,5.0,4130,34274,1977,741,690.0,Pacific Palisades,34.0769343,-118.5723074,TheMLS,25545063,https://www.redfin.com/CA/Pacific-Palisades/17552-Camino-de-Yatasto-90272/home/6848832,Original Redfin export,310
2025-09-24,17711 Revello Dr,Pacific Palisades,CA,90272,Single Family Residential,4183450,4,5.0,3383,3807,1955,1237,,Pacific Palisades,34.0415,-118.561321,TheMLS,25577567,https://www.redfin.com/CA/Pacific-Palisades/17711-Revello-Dr-90272/home/6843662,Original Redfin export,130
2025-09-17,16718 Via Pacifica,Pacific Palisades,CA,90272,Single Family Residential,4105000,6,5.0,5312,9940,1997,773,984.0,Pacific Palisades,34.0761124,-118.5479043,TheMLS,25567535,https://www.redfin.com/CA/Pacific-Palisades/16718-Via-Pacifica-90272/home/6849315,Original Redfin export,202
2025-09-10,306 Amalfi Dr,Santa Monica,CA,90402,Single Family Residential,4800000,4,4.0,3492,5999,1933,1375,,Santa Monica,34.0321675,-118.5144631,TheMLS,25571963,https://www.redfin.com/CA/Santa-Monica/306-Amalfi-Dr-90402/home/6840668,Original Redfin export,65
2025-09-09,1355 Monaco Dr,Pacific Palisades,CA,90272,Single Family Residential,8500000,3,3.0,3084,17572,1956,2756,78.0,Pacific Palisades,34.0547687,-118.5013624,TheMLS,25575115,https://www.redfin.com/CA/Pacific-Palisades/1355-Monaco-Dr-90272/home/6846972,Original Redfin export,139
2025-09-08,1057 Corsica Dr,Pacific Palisades,CA,90272,Single Family Residential,13044518,5,6.0,6000,15007,2020,2174,,Pacific Palisades,34.047621,-118.5063191,TheMLS,25541933,https://www.redfin.com/CA/Pacific-Palisades/1057-Corsica-Dr-90272/home/6839487,Original Redfin export,283
2025-08-29,1124 Napoli Dr,Pacific Palisades,CA,90272,Single Family Residential,25750000,5,6.0,10568,17227,2008,2437,,Pacific Palisades,34.0481812,-118.5038878,TheMLS,25584301,https://www.redfin.com/CA/Pacific-Palisades/1124-Napoli-Dr-90272/home/6839434,Original Redfin export,22
2025-08-29,345 W Channel Rd,Santa Monica,CA,90402,Single Family Residential,10200000,5,8.0,7000,13007,2011,1457,,Santa Monica,34.0307927,-118.5141276,TheMLS,25516509,https://www.redfin.com/CA/Santa-Monica/345-W-Channel-Rd-90402/home/6840642,Original Redfin export,314
2025-08-29,772 Hartzell St,Pacific Palisades,CA,90272,Single Family Residential,3787500,5,5.0,4034,7152,2009,939,,Pacific Palisades,34.0433064,-118.5189196,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/772-Hartzell-St-90272/home/6846770,Filled from public web research: Redfin (High confidence),56
2025-08-28,14924 Camarosa Dr,Pacific Palisades,CA,90272,Single Family Residential,22100000,7,9.0,8388,25298,1929,2635,,Pacific Palisades,34.0343715,-118.5216936,TheMLS,25516923,https://www.redfin.com/CA/Pacific-Palisades/14924-Camarosa-Dr-90272/home/6841113,Original Redfin export,331
2025-08-28,14929 La Cumbre Dr,Pacific Palisades,CA,90272,Single Family Residential,5275000,4,3.0,2909,13319,1956,1813,,Pacific Palisades,34.03394,-118.5217038,TheMLS,25517765,https://www.redfin.com/CA/Pacific-Palisades/14929-La-Cumbre-Dr-90272/home/6841100,Original Redfin export,325
2025-08-27,1491 Capri Dr,Pacific Palisades,CA,90272,Single Family Residential,6341100,4,4.0,3147,25570,1948,2015,,Pacific Palisades,34.057544,-118.5023809,TheMLS,25544483,https://www.redfin.com/CA/Pacific-Palisades/1491-Capri-Dr-90272/home/6847007,Original Redfin export,211
2025-08-22,13716 W Sunset Blvd,Pacific Palisades,CA,90272,Single Family Residential,3568000,4,5.0,3393,15010,1952,1052,,Pacific Palisades,34.0503295,-118.504971,TheMLS,25564789,https://www.redfin.com/CA/Pacific-Palisades/13716-W-Sunset-Blvd-90272/home/6839463,Original Redfin export,98
2025-08-08,479 Mesa Rd,Santa Monica,CA,90402,Single Family Residential,5277500,4,4.0,3245,7389,1927,1626,,Santa Monica,34.0346628,-118.5172928,Public Records / Redfin,,https://www.redfin.com/CA/Santa-Monica/479-Mesa-Rd-90402/home/6840511,Filled from public web research: Redfin (High confidence),7
2025-08-05,755 Napoli Dr,Pacific Palisades,CA,90272,Single Family Residential,15814139,7,9.0,10603,16186,2023,1491,,Pacific Palisades,34.042083,-118.5103071,TheMLS,25568365,https://www.redfin.com/CA/Pacific-Palisades/755-Napoli-Dr-90272/home/6839598,Original Redfin export,46
2025-08-01,16597 Via Floresta,Pacific Palisades,CA,90272,Single Family Residential,3560000,4,3.0,3361,15101,1985,1059,,Pacific Palisades,34.0597527,-118.5474546,TheMLS,25537189,https://www.redfin.com/CA/Pacific-Palisades/16597-Via-Floresta-90272/home/6845241,Original Redfin export,248
2025-07-31,747 Ocampo Dr,Pacific Palisades,CA,90272,Single Family Residential,3850000,5,6.0,4430,8627,1952,869,,Pacific Palisades,34.0414839,-118.5218992,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/747-Ocampo-Dr-90272/home/6840855,Filled from public web research: Redfin (High confidence),231
2025-07-15,13817 W Sunset Blvd,Pacific Palisades,CA,90272,Single Family Residential,9400000,5,7.0,6528,14996,2019,1440,,Pacific Palisades,34.0484476,-118.5073245,TheMLS,25492149,https://www.redfin.com/CA/Pacific-Palisades/13817-W-Sunset-Blvd-90272/home/6846918,Original Redfin export,296
2025-07-11,463 Wynola St,Pacific Palisades,CA,90272,Single Family Residential,5299000,6,7.0,7698,8867,2009,688,,Pacific Palisades,34.0420317,-118.5371758,TheMLS,24-472175,https://www.redfin.com/CA/Pacific-Palisades/463-Wynola-St-90272/home/21917412,Original Redfin export,349
2025-07-11,1443 Jonesboro Dr,Los Angeles,CA,90049,Single Family Residential,3750000,5,3.5,2223,13610,1954,1687,,C06 - Brentwood,34.054644,-118.4976947,CRMLS,SR25077090,https://www.redfin.com/CA/Los-Angeles/1443-Jonesboro-Dr-90049/home/6839152,Original Redfin export,111
2025-07-08,603 Hightree Rd,Santa Monica,CA,90402,Single Family Residential,7723427,4,4.0,2913,56447,1955,2651,,Santa Monica,34.0379788,-118.5169253,TheMLS,25541749,https://www.redfin.com/CA/Santa-Monica/603-Hightree-Rd-90402/home/6840119,Original Redfin export,100
2025-07-07,551 Amalfi Dr,Pacific Palisades,CA,90272,Single Family Residential,11300000,6,8.0,8894,15620,2003,1271,33.0,Pacific Palisades,34.0357756,-118.5134994,TheMLS,25537501,https://www.redfin.com/CA/Pacific-Palisades/551-Amalfi-Dr-90272/home/6839651,Original Redfin export,217
2025-07-01,848 Toulon Dr,Pacific Palisades,CA,90272,Single Family Residential,8500000,4,5.0,4400,13565,1951,1932,33.0,Pacific Palisades,34.044049,-118.5088947,TheMLS,25540469,https://www.redfin.com/CA/Pacific-Palisades/848-Toulon-Dr-90272/home/6839580,Original Redfin export,167
2025-07-01,14629 Hilltree Rd,Santa Monica,CA,90402,Single Family Residential,4395000,3,3.0,2579,7091,1954,1704,,Santa Monica,34.0371306,-118.516281,Public Records / Redfin,,https://www.redfin.com/CA/Santa-Monica/14629-Hilltree-Rd-90402/home/6840145,Filled from public web research: Redfin (High confidence),50
2025-06-25,1494 Pampas Ricas Blvd,Pacific Palisades,CA,90272,Single Family Residential,4700000,5,6.0,5125,12073,1998,917,,Pacific Palisades,34.0405,-118.52086,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/1494-Pampas-Ricas-Blvd-90272/home/6840861,Filled from public web research: Redfin (High confidence),44
2025-06-25,546 Stassi Ln,Santa Monica,CA,90402,Single Family Residential,4300000,4,4.0,3376,7335,1948,1274,,Santa Monica,34.0331245,-118.5097351,TheMLS,25520269,https://www.redfin.com/CA/Santa-Monica/546-Stassi-Ln-90402/home/6840210,Original Redfin export,268
2025-06-18,13600 Romany Dr,Pacific Palisades,CA,90272,Single Family Residential,10229600,6,7.0,5800,16082,1941,1764,,Pacific Palisades,34.0544355,-118.5030782,TheMLS,25533423,https://www.redfin.com/CA/Pacific-Palisades/13600-Romany-Dr-90272/home/6846981,Original Redfin export,183
2025-06-18,408 Sycamore Rd,Santa Monica,CA,90402,Single Family Residential,4085000,4,3.0,2020,4642,1913,2022,,Santa Monica,34.0326825,-118.5165468,TheMLS,25514361,https://www.redfin.com/CA/Santa-Monica/408-Sycamore-Rd-90402/home/6840500,Original Redfin export,281
2025-06-12,1180 Napoli Dr,Pacific Palisades,CA,90272,Single Family Residential,10225000,5,5.0,5011,20124,1953,2041,,Pacific Palisades,34.0500409,-118.5030777,TheMLS,25523273,https://www.redfin.com/CA/Pacific-Palisades/1180-Napoli-Dr-90272/home/6839425,Original Redfin export,113
2025-06-12,400 E Rustic Rd,Santa Monica,CA,90402,Single Family Residential,3100000,3,2.0,1873,6526,1935,1655,,Santa Monica,34.0322246,-118.5173194,TheMLS,25532031,https://www.redfin.com/CA/Santa-Monica/400-E-Rustic-Rd-90402/home/6840530,Original Redfin export,92
2025-06-10,279 Amalfi Dr,Santa Monica,CA,90402,Single Family Residential,4870000,3,4.0,2613,5597,1935,1864,,Santa Monica,34.0313965,-118.5148616,TheMLS,25532639,https://www.redfin.com/CA/Santa-Monica/279-Amalfi-Dr-90402/home/6840624,Original Redfin export,184
2025-06-06,411 Lombard Ave,Pacific Palisades,CA,90272,Single Family Residential,3500000,3,3.0,3974,8018,1979,881,,Pacific Palisades,34.036968,-118.527272,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/411-Lombard-Ave-90272/home/6841844,Filled from public web research: Redfin (High confidence),14
2025-06-04,486 E Channel Rd,Santa Monica,CA,90402,Single Family Residential,4695000,4,4.0,2700,3769,2016,1739,,Santa Monica,34.0333798,-118.5123725,TheMLS,25-489677,https://www.redfin.com/CA/Santa-Monica/486-E-Channel-Rd-90402/home/6840713,Original Redfin export,307
2025-05-30,928 Chautauqua Blvd,Pacific Palisades,CA,90272,Single Family Residential,3800000,4,4.0,3284,14257,1929,1157,,Pacific Palisades,34.0471617,-118.5160618,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/928-Chautauqua-Blvd-90272/home/6846564,Filled from public web research: Redfin (High confidence),23
2025-05-07,724 Greentree Rd,Pacific Palisades,CA,90272,Single Family Residential,12550000,4,4.0,4020,12459,2019,3122,,Pacific Palisades,34.0418096,-118.5160848,TheMLS,25511749,https://www.redfin.com/CA/Pacific-Palisades/724-Greentree-Rd-90272/home/6840096,Original Redfin export,96
2025-05-06,13574 D Este Dr,Pacific Palisades,CA,90272,Single Family Residential,10079425,5,6.0,6100,17001,1959,1652,39.0,Pacific Palisades,34.0572056,-118.5007231,TheMLS,25516091,https://www.redfin.com/CA/Pacific-Palisades/13574-D-Este-Dr-90272/home/180089641,Original Redfin export,132
2025-04-28,814 Toulon Dr,Pacific Palisades,CA,90272,Single Family Residential,20000000,6,7.0,8008,18604,2013,2498,,Pacific Palisades,34.0438895,-118.50953,TheMLS,25498471,https://www.redfin.com/CA/Pacific-Palisades/814-Toulon-Dr-90272/home/8145181,Original Redfin export,203
2025-04-22,1065 Amalfi Dr,Pacific Palisades,CA,90272,Single Family Residential,7650000,4,5.0,4308,12027,1950,1776,,Pacific Palisades,34.0488226,-118.5083145,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/1065-Amalfi-Dr-90272/home/6846896,Filled from public web research: Redfin (High confidence),29
2025-04-09,645 Ocampo Dr,Pacific Palisades,CA,90272,Single Family Residential,4100000,4,4.0,4070,8202,1952,1007,,Pacific Palisades,34.0398209,-118.5205454,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/645-Ocampo-Dr-90272/home/6840922,Filled from public web research: Redfin (High confidence),13
2025-04-07,16258 Shadow Mountain Dr,Pacific Palisades,CA,90272,Single Family Residential,4950000,5,7.0,9881,65327,1995,501,,Pacific Palisades,34.0575339,-118.5392186,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/16258-Shadow-Mountain-Dr-90272/home/8093071,Filled from public web research: Redfin (High confidence),346
2025-04-03,1344 Monaco Dr,Pacific Palisades,CA,90272,Single Family Residential,13230551,6,6.0,6014,19980,1930,2200,,Pacific Palisades,34.0541804,-118.5008408,TheMLS,25499223,https://www.redfin.com/CA/Pacific-Palisades/1344-Monaco-Dr-90272/home/6847147,Original Redfin export,176
2025-04-01,338 Entrada Dr,Santa Monica,CA,90402,Single Family Residential,4390000,4,4.0,2792,6000,1947,1572,,Santa Monica,34.0301378,-118.5142482,TheMLS,25-480995,https://www.redfin.com/CA/Santa-Monica/338-Entrada-Dr-90402/home/6840334,Original Redfin export,263
2025-03-28,13837 W Sunset Blvd,Pacific Palisades,CA,90272,Single Family Residential,4199000,5,4.0,3837,14994,1952,1094,,Pacific Palisades,34.0479986,-118.5076608,CSMAR,225000469,https://www.redfin.com/CA/Pacific-Palisades/13837-W-Sunset-Blvd-90272/home/6846919,Original Redfin export,227
2025-03-21,707 Brooktree Rd,Pacific Palisades,CA,90272,Single Family Residential,8225000,3,4.0,3071,13036,1948,2678,,Pacific Palisades,34.0407775,-118.5157362,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/707-Brooktree-Rd-90272/home/6840103,Filled from public web research: Redfin (High confidence),285
2025-03-20,1425 Brinkley Ave,Los Angeles,CA,90049,Single Family Residential,3295500,3,2.0,2363,9564,1953,1395,,Brentwood,34.0545668,-118.4961161,TheMLS,25497641,https://www.redfin.com/CA/Los-Angeles/1425-Brinkley-Ave-90049/home/6839199,Original Redfin export,59
2025-03-06,1328 Brinkley Ave,Los Angeles,CA,90049,Single Family Residential,4530600,4,3.0,2716,9130,1953,1668,,Brentwood,34.0515652,-118.4963972,TheMLS,25-487989,https://www.redfin.com/CA/Los-Angeles/1328-Brinkley-Ave-90049/home/6839310,Original Redfin export,63
2025-03-05,830 Brooktree Rd,Pacific Palisades,CA,90272,Single Family Residential,6448900,4,3.0,2488,17234,1949,2592,,Pacific Palisades,34.0443569,-118.5138123,TheMLS,25491131,https://www.redfin.com/CA/Pacific-Palisades/830-Brooktree-Rd-90272/home/6840037,Original Redfin export,83
2025-02-25,225 Mabery Rd,Santa Monica,CA,90402,Single Family Residential,6500000,4,4.0,3294,6988,1926,1973,,Santa Monica,34.0289324,-118.5153657,TheMLS,25-488645,https://www.redfin.com/CA/Santa-Monica/225-Mabery-Rd-90402/home/6840351,Original Redfin export,51
2025-02-25,1400 Longworth Dr,Los Angeles,CA,90049,Single Family Residential,4900000,4,4.0,2616,8407,1954,1873,,Brentwood,34.0534594,-118.4969457,TheMLS,25495851,https://www.redfin.com/CA/Los-Angeles/1400-Longworth-Dr-90049/home/6839226,Original Redfin export,49
2025-02-21,625 Kingman Ave,Santa Monica,CA,90402,Single Family Residential,7195000,4,4.0,3100,5670,1936,2321,,Santa Monica,34.0351957,-118.5089509,TheMLS,25-489935,https://www.redfin.com/CA/Santa-Monica/625-Kingman-Ave-90402/home/6839815,Original Redfin export,110
2025-02-20,13209 Dobbins Pl,Los Angeles,CA,90049,Single Family Residential,11776000,6,8.0,9139,10013,2024,1289,,Brentwood,34.0530854,-118.4978514,TheMLS,25-479475,https://www.redfin.com/CA/Los-Angeles/13209-Dobbins-Pl-90049/home/6839187,Original Redfin export,129
2025-02-19,13201 Haney Pl,Los Angeles,CA,90049,Single Family Residential,10200000,6,7.0,6716,9826,2022,1519,,Brentwood,34.0537895,-118.4972989,TheMLS,25-489879,https://www.redfin.com/CA/Los-Angeles/13201-Haney-Pl-90049/home/6839181,Original Redfin export,107
2025-02-11,592 Entrada Dr,Santa Monica,CA,90402,Single Family Residential,3450000,2,3.0,2431,5519,1948,1419,,Santa Monica,34.0341428,-118.5093908,TheMLS,24-439471,https://www.redfin.com/CA/Santa-Monica/592-Entrada-Dr-90402/home/6840190,Original Redfin export,332
2025-01-24,309 E Rustic Rd,Santa Monica,CA,90402,Single Family Residential,6650000,4,5.0,4133,6353,1923,1609,,Santa Monica,34.0306539,-118.5166303,TheMLS,24-452725,https://www.redfin.com/CA/Santa-Monica/309-E-Rustic-Rd-90402/home/6840427,Original Redfin export,244
2025-01-23,312 E Rustic Rd,Santa Monica,CA,90402,Single Family Residential,6400000,5,5.0,3400,7002,2024,1882,,Santa Monica,34.0307024,-118.5161124,TheMLS,24-436911,https://www.redfin.com/CA/Santa-Monica/312-E-Rustic-Rd-90402/home/6840552,Original Redfin export,316
2025-01-02,587 E Channel Rd,Santa Monica,CA,90402,Single Family Residential,7350000,3,3.0,3059,30098,1953,2403,,C14 - Santa Monica,34.036195,-118.5116541,CRMLS,SB24244114,https://www.redfin.com/CA/Santa-Monica/587-E-Channel-Rd-90402/home/6839688,Original Redfin export,73
2024-12-26,1420 Bienveneda Ave,Pacific Palisades,CA,90272,Single Family Residential,6102500,6,6.0,6732,45517,1995,906,1320.0,Pacific Palisades,34.0622688,-118.5426374,TheMLS,24-436635,https://www.redfin.com/CA/Pacific-Palisades/1420-Bienveneda-Ave-90272/home/6845360,Original Redfin export,250
2024-12-20,773 Hartzell St,Pacific Palisades,CA,90272,Single Family Residential,5149000,4,5.0,3600,6502,2004,1430,,Pacific Palisades,34.0432398,-118.5194671,TheMLS,24-475259,https://www.redfin.com/CA/Pacific-Palisades/773-Hartzell-St-90272/home/6846754,Original Redfin export,6
2024-12-20,1361 Berea Pl,Pacific Palisades,CA,90272,Single Family Residential,4900000,5,6.0,4083,8374,1960,1200,,Pacific Palisades,34.0540248,-118.5219397,TheMLS,24-354085,https://www.redfin.com/CA/Pacific-Palisades/1361-Berea-Pl-90272/home/6845447,Original Redfin export,334
2024-12-18,368 Sycamore Rd,Santa Monica,CA,90402,Single Family Residential,3805697,4,3.0,2060,4355,2007,1847,,Santa Monica,34.0321622,-118.5162302,TheMLS,24-449071,https://www.redfin.com/CA/Santa-Monica/368-Sycamore-Rd-90402/home/6840577,Original Redfin export,240
2024-12-16,532 Spoleto Dr,Pacific Palisades,CA,90272,Single Family Residential,15095000,7,8.0,10568,16639,2009,1428,25.0,Pacific Palisades,34.0351559,-118.5144499,TheMLS,24-447415,https://www.redfin.com/CA/Pacific-Palisades/532-Spoleto-Dr-90272/home/6839672,Original Redfin export,144
2024-12-13,16650 Akron St,Pacific Palisades,CA,90272,Single Family Residential,4150000,4,4.0,2600,8193,1954,1596,,Pacific Palisades,34.0497019,-118.5448529,TheMLS,24-462507,https://www.redfin.com/CA/Pacific-Palisades/16650-Akron-St-90272/home/6844111,Original Redfin export,58
2024-12-06,1102 Chautauqua Blvd,Pacific Palisades,CA,90272,Single Family Residential,4785000,5,4.0,4045,8808,1947,1183,,Pacific Palisades,34.0500161,-118.5172046,TheMLS,24-455839,https://www.redfin.com/CA/Pacific-Palisades/1102-Chautauqua-Blvd-90272/home/6846101,Original Redfin export,173
2024-12-05,1116 Cumbre Alta Ct,Pacific Palisades,CA,90272,Single Family Residential,5072500,5,6.0,5421,15140,1987,936,495.0,Pacific Palisades,34.0678626,-118.5545983,TheMLS,24-424025,https://www.redfin.com/CA/Pacific-Palisades/1116-Cumbre-Alta-Ct-90272/home/6849121,Original Redfin export,270
2024-12-03,717 Greentree Rd,Pacific Palisades,CA,90272,Single Family Residential,8500000,5,6.0,5200,17893,2004,1635,,Pacific Palisades,34.0413334,-118.5166504,TheMLS,24-445803,https://www.redfin.com/CA/Pacific-Palisades/717-Greentree-Rd-90272/home/6840089,Original Redfin export,209
2024-11-26,407 Upper Mesa Rd,Santa Monica,CA,90402,Single Family Residential,4800000,4,4.0,3325,5011,1983,1444,,Santa Monica,34.0327737,-118.5161577,TheMLS,24-423745,https://www.redfin.com/CA/Santa-Monica/407-Mesa-Rd-90402/home/6840633,Original Redfin export,304
2024-11-22,906 Chautauqua Blvd,Pacific Palisades,CA,90272,Single Family Residential,7475000,4,3.0,3882,18466,1942,1926,,Pacific Palisades,34.0465201,-118.5159715,TheMLS,24-406881,https://www.redfin.com/CA/Pacific-Palisades/906-Chautauqua-Blvd-90272/home/6846560,Original Redfin export,321
2024-11-22,1379 Beckwith Ave,Los Angeles,CA,90049,Single Family Residential,4900000,4,5.0,3669,9264,1953,1336,,Brentwood,34.0532957,-118.495391,TheMLS,24-433089,https://www.redfin.com/CA/Los-Angeles/1379-Beckwith-Ave-90049/home/6839236,Original Redfin export,220
2024-11-21,444 Sycamore Rd,Santa Monica,CA,90402,Single Family Residential,3490000,4,4.0,2380,4643,1994,1466,,Pacific Palisades,34.033559,-118.5169846,TheMLS,24-436287,https://www.redfin.com/CA/Santa-Monica/444-Sycamore-Rd-90402/home/6840493,Original Redfin export,254
2024-11-20,836 Iliff St,Pacific Palisades,CA,90272,Single Family Residential,3994000,4,3.0,3088,6499,2003,1293,,Pacific Palisades,34.0446774,-118.5182001,TheMLS,24-383865,https://www.redfin.com/CA/Pacific-Palisades/836-Iliff-St-90272/home/6846597,Original Redfin export,345
2024-11-18,765 Amalfi Dr,Pacific Palisades,CA,90272,Single Family Residential,9005000,4,4.0,2823,16560,1949,3190,,Pacific Palisades,34.0430846,-118.5110307,TheMLS,24-446845,https://www.redfin.com/CA/Pacific-Palisades/765-Amalfi-Dr-90272/home/6839568,Original Redfin export,91
2024-11-14,16754 Via La Costa,Pacific Palisades,CA,90272,Single Family Residential,3950000,5,6.0,6095,13656,1998,648,430.0,Pacific Palisades,34.0770198,-118.5479989,TheMLS,24-417833,https://www.redfin.com/CA/Pacific-Palisades/16754-Via-La-Costa-90272/home/6849327,Original Redfin export,298
2024-11-13,1047 Corsica Dr,Pacific Palisades,CA,90272,Single Family Residential,17350000,4,5.0,3359,15004,1948,5165,,Pacific Palisades,34.0474055,-118.5065165,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/1047-Corsica-Dr-90272/home/6839488,Filled from public web research: Redfin (High confidence),108
2024-11-07,541 Stassi Ln,Santa Monica,CA,90402,Single Family Residential,10715000,5,6.0,5430,9874,2019,1973,,Santa Monica,34.0331302,-118.5101006,TheMLS,24-450487,https://www.redfin.com/CA/Santa-Monica/541-Stassi-Ln-90402/home/6840204,Original Redfin export,112
2024-11-06,444 Ocampo Dr,Pacific Palisades,CA,90272,Single Family Residential,8375000,5,6.0,4021,9362,1946,2083,27.0,Pacific Palisades,34.0364187,-118.5211582,TheMLS,24-447851,https://www.redfin.com/CA/Pacific-Palisades/444-Ocampo-Dr-90272/home/6841036,Original Redfin export,57
2024-11-04,657 Hightree Rd,Santa Monica,CA,90402,Single Family Residential,4105000,3,3.0,2428,10312,1952,1691,,Pacific Palisades,34.0401065,-118.5150686,TheMLS,24-425925,https://www.redfin.com/CA/Santa-Monica/657-Hightree-Rd-90402/home/6840105,Original Redfin export,249
2024-11-04,652 Bienveneda Ave,Pacific Palisades,CA,90272,Single Family Residential,3200000,3,2.0,1741,7092,1947,1838,,Pacific Palisades,34.0473714,-118.5400128,TheMLS,24-451429,https://www.redfin.com/CA/Pacific-Palisades/652-Bienveneda-Ave-90272/home/6842626,Original Redfin export,120
2024-11-01,16716 Via La Costa,Pacific Palisades,CA,90272,Single Family Residential,4380000,6,6.0,4759,13766,1998,920,846.0,Pacific Palisades,34.0762968,-118.5471138,TheMLS,24-458983,https://www.redfin.com/CA/Pacific-Palisades/16716-Via-La-Costa-90272/home/6849332,Original Redfin export,35
2024-11-01,15230 Friends St,Pacific Palisades,CA,90272,Single Family Residential,3500000,3,2.0,1765,6580,1947,1983,,Pacific Palisades,34.0346132,-118.5271359,TheMLS,24-430907,https://www.redfin.com/CA/Pacific-Palisades/15230-Friends-St-90272/home/6841957,Original Redfin export,258
2024-10-24,1124 Las Pulgas Rd,Pacific Palisades,CA,90272,Single Family Residential,5145000,5,6.0,3953,11365,1960,1302,,Pacific Palisades,34.0528999,-118.5387337,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/1124-Las-Pulgas-Rd-90272/home/6844743,Filled from public web research: Redfin (High confidence),64
2024-10-24,592 Radcliffe Ave,Pacific Palisades,CA,90272,Single Family Residential,4066950,4,5.0,3257,5679,2006,1249,,Pacific Palisades,34.0406688,-118.5302534,TheMLS,24-426427,https://www.redfin.com/CA/Pacific-Palisades/592-Radcliffe-Ave-90272/home/6841671,Original Redfin export,259
2024-10-18,500 Toyopa Dr,Pacific Palisades,CA,90272,Single Family Residential,12650000,6,9.0,8690,22787,2017,1456,71.0,Pacific Palisades,34.0364724,-118.5196068,TheMLS,24-436449,https://www.redfin.com/CA/Pacific-Palisades/500-Toyopa-Dr-90272/home/6840992,Original Redfin export,156
2024-10-18,16914 Enchanted Pl,Pacific Palisades,CA,90272,Single Family Residential,3700000,3,2.0,2802,8520,1957,1320,,Pacific Palisades,34.0513306,-118.5485892,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/16914-Enchanted-Pl-90272/home/6843850,Filled from public web research: Redfin (High confidence),53
2024-10-17,820 Alma Real Dr,Pacific Palisades,CA,90272,Single Family Residential,9795000,6,6.0,6399,8628,2009,1531,25.0,Pacific Palisades,34.0434511,-118.5234356,TheMLS,24-437493,https://www.redfin.com/CA/Pacific-Palisades/820-Alma-Real-Dr-90272/home/6840779,Original Redfin export,155
2024-10-16,18038 Blue Sail Dr,Pacific Palisades,CA,90272,Single Family Residential,8550000,4,5.0,3296,17133,1965,2594,,Pacific Palisades,34.0488623,-118.5686336,Public Records / Redfin,,https://www.redfin.com/CA/Pacific-Palisades/18038-Blue-Sail-Dr-90272/home/6851167,Filled from public web research: Redfin (High confidence),207
